iter	Passed	Remaining
0	3	384
1	6	333
2	9	295
3	11	271
4	14	268
5	16	255
6	18	249
7	20	239
8	23	238
9	25	233
10	28	229
11	30	224
12	32	218
13	35	215
14	37	211
15	39	207
16	41	203
17	44	200
18	46	196
19	48	193
20	50	189
21	52	185
22	54	182
23	56	179
24	58	176
25	61	173
26	63	171
27	65	168
28	67	165
29	69	162
30	71	159
31	73	156
32	75	154
33	78	152
34	80	149
35	82	147
36	84	144
37	86	141
38	88	139
39	91	136
40	93	134
41	93	129
42	95	127
43	97	124
44	99	121
45	101	119
46	103	116
47	105	114
48	107	111
49	109	109
50	110	106
51	112	103
52	114	101
53	116	99
54	117	96
55	119	93
56	121	91
57	123	89
58	125	86
59	126	84
60	128	82
61	130	80
62	132	77
63	134	75
64	136	73
65	138	71
66	139	68
67	141	66
68	143	64
69	145	62
70	147	60
71	149	57
72	150	55
73	152	53
74	154	51
75	156	49
76	158	47
77	159	45
78	161	43
79	163	40
80	165	38
81	167	36
82	168	34
83	170	32
84	172	30
85	174	28
86	176	26
87	178	24
88	180	22
89	181	20
90	183	18
91	185	16
92	186	14
93	188	12
94	189	9
95	191	7
96	193	5
97	194	3
98	196	1
99	198	0
